,lr,l1,l2,lr_newton_cg,lr_sag,lr_lbfgs
precision,0.7590703650456969,0.8371625289233305,0.8113917424481272,0.8369576636201281,0.6373282228122372,0.8113917424481272
recall,0.7548061771194453,0.8371677697237104,0.811009559827713,0.8369576636201281,0.5511083096963967,0.811009559827713
fscore,0.7551441984383981,0.8371651122310981,0.8111296549650745,0.8369576636201281,0.41510836895534214,0.8111296549650745
accuracy,0.7548061771194453,0.8371677697237104,0.811009559827713,0.8369576636201281,0.5511083096963967,0.811009559827713
